Nom établissement,Adresse,Numéro de téléphone,Type d'établissement,Priorité,Propriétaire,SIREN
Le Pave De Pain,84 ROUTE DE GENAS 69003 LYON,,Boulangerie,3,Lina,789571940
Sima L3-Long,73 COURS DOCTEUR LONG 69003 LYON,,Boulangerie,3,Lina,804417814
Maison Diar,127 AVENUE LACASSAGNE 69003 LYON,,Boulangerie,3,Lina,852618735
Karen,55 RUE ETIENNE RICHERAND 69003 LYON,,Boulangerie,3,Lina,851022673
Lpdg Augagneur,14 QUAI VICTOR AUGAGNEUR 69003 LYON,,Boulangerie,3,Lina,980223275
Double Bao,27 RUE MAURICE FLANDIN 69003 LYON,,Boulangerie,3,Lina,990068538
Nathalie Et Daniel Boinon,68 AVENUE MARECHAL DE SAXE 69003 LYON,,Boulangerie,3,Lina,387765514
Leonard Fetishi,218 RUE PAUL BERT 69003 LYON,,Boulangerie,3,Lina,497512970
Le Petit Brivadois,4 RUE FRANCOIS GILLET 69003 LYON,,Boulangerie,3,Lina,487860983
Sarl Brahimi,49 RUE PAUL BERT 69003 LYON,,Boulangerie,3,Lina,532508728
Kombo,327 RUE ANDRE PHILIP 69003 LYON,,Boulangerie,3,Lina,533372397
Le Moncey,52 RUE MONCEY 69003 LYON,,Boulangerie,3,Lina,818322380
Gourmandises & Tradition,89 AVENUE MARECHAL DE SAXE 69003 LYON,,Boulangerie,3,Lina,850656638
Cayenne Pastry'S,254 RUE VENDOME 69003 LYON,,Boulangerie,3,Lina,835275926
Felix 3,167 AVENUE FELIX FAURE 69003 LYON,,Boulangerie,3,Lina,853919843
Pic&Mie,41 COURS ALBERT THOMAS 69003 LYON,,Boulangerie,3,Lina,901115626
Boulangerie Patisserie Fetishi,218 RUE PAUL BERT 69003 LYON,,Boulangerie,3,Lina,944675198
Paul Marcellin 4,12 RUE DE LA PART-DIEU 69003 LYON,,Boulangerie,3,Lina,943180000
4 You Delices,320 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,922020235
Boulangerie De Capucine,49 COURS GAMBETTA 69003 LYON,,Boulangerie,3,Lina,930063524
Boulangerie Patisserie Mimosa,47 RUE DU DAUPHINE 69003 LYON,,Boulangerie,3,Lina,930895792
Sarl Avetisyan,1 RUE DOCTEUR REBATEL 69003 LYON,,Boulangerie,3,Lina,931809313
Petrin Et Partage,67 RUE MONCEY 69003 LYON,,Boulangerie,3,Lina,984566497
Seve,LES HALLES DE LYON LOT N 5 102 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,438648487
Delices Des Sens,102 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,480917699
Aux Merveilleux Lyon,CELLULE BER18 GARE PART DIEU 15 PLACE CHARLES BERAUDIER 69003 LYON,,Boulangerie,3,Lina,811981620
Mariller,PLACE CHARLES BERAUDIER 69003 LYON,,Boulangerie,3,Lina,952909919
Stessy Volny (Sf Creations),11 RUE DOMREMY 69003 LYON,,Boulangerie,3,Lina,832216782
Passion Et Gourmandise,215 AVENUE FELIX FAURE 69003 LYON,,Boulangerie,3,Lina,794941955
Marc Villedieu,87 COURS DOCTEUR LONG 69003 LYON,,Boulangerie,3,Lina,443363437
L Epis Curien,248 RUE PAUL BERT 69003 LYON,,Boulangerie,3,Lina,451886592
Boulangerie Lafayette,26 COURS LAFAYETTE 69003 LYON,,Boulangerie,3,Lina,500604376
